dataset,loss,accuracy,f1
train,0.01975778660719068,0.9996373745920464,0.9996373893745355
validation,2.4769208575740005,0.5456742387626873,0.541672477132654
test,0.5444702242846094,0.5444702242846094,0.5406986951985288
