dataset,mse,rmse,mae,r2
train,0.15044718333909934,0.38787521619600723,0.3232607028158651,0.7921429725261587
validation,0.605193757204145,0.7779420011827006,0.6339572093807112,0.157620649807084
test,0.6463941907048063,0.8039864368910749,0.6481867736480859,0.12682169380344355
