data_type,count,MSE,RMSE,R2,NDCG
text,1729,0.24366570499527282,0.49362506520158883,-6.37828098493352,0.9587208800782401
image,857,0.35733719106126505,0.5977768739766244,-31.01176741869257,0.9805623925599349
overall,2586,0.2813364178949462,0.5304115552049617,-9.810079851455365,0.9657134546957317
