dataset,loss,rmse,r2,mse
train,0.14360950142145157,0.15828517551519108,0.9653852537716577,0.02505419678787485
validation,0.7388606784921704,0.8621664558479881,-0.03465493638624406,0.7433309975894808
test,0.7930589766109866,0.8905385879404589,-0.07129972737402612,0.7930589766109866
