dataset,mse,rmse,mae,r2
train,0.709609832874159,0.8423834239075215,0.6790105751594427,0.019606833083865238
validation,0.7082250112455469,0.8415610561602449,0.6872185803186607,0.014209717695170765
test,0.7350785019866173,0.8573671920400368,0.6869360493972807,0.007022942786165665
