data_type,count,MSE,RMSE,R2,NDCG
text,1729,0.21709932018718597,0.4659391807813397,0.012279941295792351,0.0
image,857,0.07993474121830556,0.2827273266210848,-0.007000166661019991,0.0
overall,2586,0.17164299993338453,0.4142982017018473,0.02011195928949039,0.0
