data_type,count,MSE,RMSE,R2,NDCG
text,1729,1.2684698526624658,1.1262636692455572,-0.3503410682447301,0.0
image,857,0.7363812560618376,0.8581265967570505,-1.3191919942392487,0.9348421115760027
overall,2586,1.0921357740519713,1.045053000594693,-0.47530605787709823,0.0
