dataset,accuracy,precision,recall,f1
train,0.9893629880333615,0.9894792550546572,0.9893629880333615,0.988356524298579
validation,0.5915901401643306,0.5843183804314553,0.5915901401643306,0.582024136602545
test,0.5618716163959784,0.5609633718589638,0.5618716163959784,0.5521367378063768
