dataset,accuracy,precision,recall,f1
train,0.5700471413030339,0.5293440740955279,0.5700471413030339,0.5487664079023318
validation,0.5451909134847752,0.5045324279059874,0.5451909134847752,0.5240295924863434
test,0.5293890177880897,0.492237453857661,0.5293890177880897,0.5101236646334252
